time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447650000	20.1301	10.0919	4.75776	1.28083	0.420207	radar	7.0134	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1796	10.3577	4.7993	1.31478	0.433484	lidar	0.750467	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1953	10.5948	4.77386	1.36242	0.473922	radar	3.06994	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.255	10.8624	4.8213	1.38688	0.473767	lidar	1.86946	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.284	11.1168	4.84359	1.41581	0.476273	radar	4.85856	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3185	11.3546	4.84143	1.43933	0.476013	lidar	0.00238261	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2647	11.6039	4.80804	1.51543	0.558057	radar	11.0682	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3365	11.844	4.81821	1.51981	0.532859	lidar	4.61861	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3617	12.0781	4.8276	1.52632	0.493935	radar	3.5644	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3497	12.3603	4.88095	1.56246	0.504448	lidar	1.12056	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3	12.5995	4.85498	1.62062	0.559504	radar	3.42579	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3247	12.8397	4.85322	1.63316	0.543421	lidar	1.76443	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3113	13.0722	4.83787	1.66057	0.547824	radar	2.12157	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2757	13.2878	4.80483	1.69071	0.551671	lidar	1.09299	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2366	13.5227	4.80389	1.71795	0.54731	radar	1.28979	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2166	13.7794	4.82849	1.73883	0.539846	lidar	1.24379	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1602	14.0078	4.81442	1.77578	0.557901	radar	0.90757	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1056	14.261	4.83981	1.80456	0.558063	lidar	0.329179	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0335	14.4899	4.83574	1.8366	0.561519	radar	1.40289	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9262	14.7417	4.87286	1.87924	0.575419	lidar	1.26989	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8592	14.9605	4.85666	1.89727	0.554413	radar	3.37979	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8268	15.1806	4.82877	1.90771	0.537559	lidar	2.11081	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6941	15.3919	4.81397	1.98167	0.626671	radar	8.05809	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
